ItemCode,ItemName,Warehouse,BinCode,QtyInBin,TotalOnHand,InvntryUom,FrozenFor
010-50604-10-SUB,STUD,01,01-SYSTEM-BIN-LOCATION,0.0,0.0,UN,N
010-50802-50-SUB,STUD,01,01-02D54,0.0,0.0,UN,N
010-50802-90-SUB,STUD,01,01-SYSTEM-BIN-LOCATION,0.0,0.0,UN,N
010-51001-20-SUB,STUD,01,01-02I48,0.0,2.0,UN,N
010-51001-20-SUB,STUD,01,01-02I50,2.0,2.0,UN,N
01060000-HTZ,ISOLATOR,01,01-03E22,4.0,4.0,UN,N
01060000-HTZ,ISOLATOR,01,01-SYSTEM-BIN-LOCATION,0.0,4.0,UN,N
01060100-HTZ,ISOLATOR,01,01-SYSTEM-BIN-LOCATION,0.0,0.0,UN,N
010-6750-01-LOF,LOFA CANplus Suite Config,01,01-SYSTEM-BIN-LOCATION,0.0,0.0,UN,N
01083000-HTZ,EXHAUST CAPSUL TOP,01,01-SYSTEM-BIN-LOCATION,0.0,0.0,UN,N
01096912-HTZ,SIDE PANEL,01,01-SYSTEM-BIN-LOCATION,0.0,0.0,UN,N
011-00600-10-SUB,FLANGE BOLT,01,01-02H76,0.0,0.0,UN,N
011-00600-20-SUB,FLANGE BOLT,01,01-02E34,0.0,0.0,UN,N
011-00600-20-SUB,FLANGE BOLT,01,01-SYSTEM-BIN-LOCATION,0.0,0.0,UN,N
011-00600-30-SUB,FLANGE BOLT,01,01-SYSTEM-BIN-LOCATION,0.0,0.0,UN,N
011-00602-20-SUB,BOLT,01,01-02E18,0.0,0.0,UN,N
011-00803-20-SUB,FLANGE BOLT,01,01-02E10,0.0,0.0,UN,N
011-00803-20-SUB,FLANGE BOLT,01,01-SYSTEM-BIN-LOCATION,0.0,0.0,UN,N
01105900-HTZ,CYLINDER START REL.,01,01-03D38,0.0,0.0,UN,N
01105900-HTZ,CYLINDER START REL.,01,01-SYSTEM-BIN-LOCATION,0.0,0.0,UN,N
01109101-HTZ,MUFFLER M40/41,01,01-C02J,0.0,0.0,UN,N
01109101-HTZ,MUFFLER M40/41,01,01-SYSTEM-BIN-LOCATION,0.0,0.0,UN,N
01122900-HTZ,OIL HOSE,01,01-SYSTEM-BIN-LOCATION,0.0,0.0,UN,N
01123000-HTZ,OIL HOSE,01,01-SYSTEM-BIN-LOCATION,0.0,0.0,UN,N
01123001-HTZ,HOSE CONNECTION STRAIGHT – LOOSE,01,01-03B64,1.0,1.0,UN,N
01123001-HTZ,HOSE CONNECTION STRAIGHT – LOOSE,01,01-SYSTEM-BIN-LOCATION,0.0,1.0,UN,N
01129010-HTZ,EXH. SILENCER,01,01-03A06,1.0,1.0,UN,N
01144500-HTZ,FUEL PIPE,01,01-SYSTEM-BIN-LOCATION,0.0,0.0,UN,N
01153900-HTZ,GASKET EXHAUST SIL,01,01-SYSTEM-BIN-LOCATION,0.0,0.0,UN,N
01154000-HTZ,GASKET KIT 50MM,01,01-03G32,2.0,2.0,UN,N
01176101-HTZ,INTERMED.HOUS.SAE 5,01,01-SYSTEM-BIN-LOCATION,0.0,0.0,UN,N
01183210-HTZ,WIRING HARNESS,01,01-SYSTEM-BIN-LOCATION,0.0,0.0,UN,N
01187202-HTZ,CR-HANDLE SHAFT 80,01,01-03E38,0.0,0.0,UN,N
01187202-HTZ,CR-HANDLE SHAFT 80,01,01-SYSTEM-BIN-LOCATION,0.0,0.0,UN,N
01189911-HTZ,FUEL PIPE,01,01-SYSTEM-BIN-LOCATION,0.0,0.0,UN,N
011-90595-31-SUB,SOCKET HEAD BOLT M5X16 W.SW,01,01-02B70,20.0,20.0,UN,N
011-90595-70-SUB,SCREW,01,01-02F20,4.0,4.0,UN,N
011-90699-50-SUB,BOLT,01,01-02F64,2.0,2.0,UN,N
01191101-HTZ,FUEL PIPE/W CK.VALVE,01,01-SYSTEM-BIN-LOCATION,0.0,0.0,UN,N
01191903-HTZ,GUARD,01,01-SYSTEM-BIN-LOCATION,0.0,0.0,UN,N
01193401-HTZ,ELECT.WIRE START.50,01,01-SYSTEM-BIN-LOCATION,0.0,0.0,UN,N
01203800-HTZ,FUEL PRESS PIPE,01,01-03G72,0.0,0.0,UN,N
01203800-HTZ,FUEL PRESS PIPE,01,01-SYSTEM-BIN-LOCATION,0.0,0.0,UN,N
0120424-SUB,REMP PAR 4700348124,01,01-SYSTEM-BIN-LOCATION,0.0,0.0,UN,N
01205201-HTZ,FAN WITH PULLEY,01,01-SYSTEM-BIN-LOCATION,0.0,0.0,UN,N
01205500-HTZ,LINING,01,01-SYSTEM-BIN-LOCATION,0.0,0.0,UN,N
01205901-HTZ,VALVE COVER (C/W GSKT),01,01-SYSTEM-BIN-LOCATION,0.0,0.0,UN,N
01207800-HTZ,FASTENER,01,01-03E46,0.0,0.0,UN,N
01215700-HTZ,RUBBER SET,01,01-SYSTEM-BIN-LOCATION,0.0,0.0,UN,N
01217800-HTZ,COVER AIR FILTER,01,01-03A60,0.0,0.0,UN,N
01222400-HTZ,ROD,01,01-SYSTEM-BIN-LOCATION,0.0,0.0,UN,N
01222510-HTZ,GOVERNOR LEVER,01,01-SYSTEM-BIN-LOCATION,0.0,0.0,UN,N
01225610-HTZ,BREATHER VALVE,01,01-SYSTEM-BIN-LOCATION,0.0,0.0,UN,N
01229800-HTZ,GASK.S.CRANKC71-780,01,01-BD04B,1.0,1.0,UN,N
01230100-HTZ,GASK.S.CRANKC. E950,01,01-SYSTEM-BIN-LOCATION,0.0,0.0,UN,N
01230201-HTZ,replace by 01230903,01,01-BD04A,1.0,1.0,UN,N
01230903-HTZ,GASKET S.CY.H. 2L40,01,01-03H04,0.0,0.0,UN,N
01233200-HTZ,BLOWER DUCTING,01,01-SYSTEM-BIN-LOCATION,0.0,0.0,UN,N
01238500-HTZ,RING SET STD,01,01-03I36,0.0,0.0,UN,N
01241500-HTZ,DIPSTICK,01,01-03H38,0.0,0.0,UN,N
